timestamp,variable,valor,etiqueta
2024-11-09T07:36:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T07:37:00Z,Nivel Pozo WAS,4.37,outlier
2024-11-09T07:38:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T07:39:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T07:40:00Z,Nivel Pozo WAS,4.372,outlier
2024-11-09T07:41:00Z,Nivel Pozo WAS,4.38,outlier
2024-11-09T07:42:00Z,Nivel Pozo WAS,4.411,outlier
2024-11-09T07:43:00Z,Nivel Pozo WAS,4.397,outlier
2024-11-09T07:44:00Z,Nivel Pozo WAS,4.364,outlier
2024-11-09T07:45:00Z,Nivel Pozo WAS,4.385,outlier
2024-11-09T07:46:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T07:47:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T07:48:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T07:49:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T07:50:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T07:51:00Z,Nivel Pozo WAS,4.409,outlier
2024-11-09T07:52:00Z,Nivel Pozo WAS,4.405,outlier
2024-11-09T07:53:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T07:54:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T07:55:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T07:56:00Z,Nivel Pozo WAS,4.413,outlier
2024-11-09T07:57:00Z,Nivel Pozo WAS,4.396,outlier
2024-11-09T07:58:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T07:59:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T08:00:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T08:01:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:02:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T08:03:00Z,Nivel Pozo WAS,4.37,outlier
2024-11-09T08:04:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T08:05:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T08:06:00Z,Nivel Pozo WAS,4.409,outlier
2024-11-09T08:07:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T08:08:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:09:00Z,Nivel Pozo WAS,4.368,outlier
2024-11-09T08:10:00Z,Nivel Pozo WAS,4.368,outlier
2024-11-09T08:11:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T08:12:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T08:13:00Z,Nivel Pozo WAS,4.37,outlier
2024-11-09T08:14:00Z,Nivel Pozo WAS,4.405,outlier
2024-11-09T08:15:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T08:16:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T08:17:00Z,Nivel Pozo WAS,4.358,outlier
2024-11-09T08:18:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T08:19:00Z,Nivel Pozo WAS,4.407,outlier
2024-11-09T08:20:00Z,Nivel Pozo WAS,4.401,outlier
2024-11-09T08:21:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T08:22:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T08:23:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T08:24:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:25:00Z,Nivel Pozo WAS,4.364,outlier
2024-11-09T08:26:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:27:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T08:28:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T08:29:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T08:30:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T08:31:00Z,Nivel Pozo WAS,4.374,outlier
2024-11-09T08:32:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:33:00Z,Nivel Pozo WAS,4.374,outlier
2024-11-09T08:34:00Z,Nivel Pozo WAS,4.382,outlier
2024-11-09T08:35:00Z,Nivel Pozo WAS,4.407,outlier
2024-11-09T08:36:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:37:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T08:38:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T08:39:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T08:40:00Z,Nivel Pozo WAS,4.374,outlier
2024-11-09T08:41:00Z,Nivel Pozo WAS,4.37,outlier
2024-11-09T08:42:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T08:43:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:44:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T08:45:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T08:46:00Z,Nivel Pozo WAS,4.356,outlier
2024-11-09T08:47:00Z,Nivel Pozo WAS,4.372,outlier
2024-11-09T08:48:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T08:49:00Z,Nivel Pozo WAS,4.36,outlier
2024-11-09T08:50:00Z,Nivel Pozo WAS,4.368,outlier
2024-11-09T08:51:00Z,Nivel Pozo WAS,4.366,outlier
2024-11-09T08:52:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T08:53:00Z,Nivel Pozo WAS,4.401,outlier
2024-11-09T08:54:00Z,Nivel Pozo WAS,4.36,outlier
2024-11-09T08:55:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T08:56:00Z,Nivel Pozo WAS,4.36,outlier
2024-11-09T08:58:00Z,Nivel Pozo WAS,4.372,outlier
