timestamp,Flujo Aire Reactor 1,Flujo Aire Reactor 3,OD Reactor 1,OD Reactor 2,test
2024-12-05T06:30:00-04:00,,8984.0,,,
2024-12-05T06:31:00-04:00,,,,,
2024-12-05T06:32:00-04:00,,8581.0,,,
2024-12-05T06:33:00-04:00,,8497.0,,,
2024-12-05T06:34:00-04:00,,8790.0,,,
2024-12-05T06:35:00-04:00,,8605.0,,,
2024-12-05T06:36:00-04:00,,,,,
2024-12-05T06:37:00-04:00,,8823.0,,,
2024-12-05T06:38:00-04:00,,8920.0,,,
2024-12-05T06:39:00-04:00,,8665.0,,,
2024-12-05T06:40:00-04:00,,8936.0,,,
2024-12-05T06:41:00-04:00,,8682.0,,,
2024-12-05T06:42:00-04:00,,,,,
2024-12-05T06:43:00-04:00,,8659.0,,,
2024-12-05T06:44:00-04:00,,8756.0,,,
2024-12-05T06:45:00-04:00,,8796.0,,,
2024-12-05T06:46:00-04:00,,8497.0,,,
2024-12-05T06:47:00-04:00,,8805.0,,,
2024-12-05T06:48:00-04:00,,8801.0,,,
2024-12-05T06:49:00-04:00,,8707.0,,,
2024-12-05T06:50:00-04:00,,,,,
2024-12-05T06:51:00-04:00,,8758.0,,,
2024-12-05T06:52:00-04:00,,8601.0,,,
2024-12-05T06:53:00-04:00,,8738.0,,,
2024-12-05T06:54:00-04:00,,8433.0,,,
2024-12-05T06:55:00-04:00,,8667.0,,,
2024-12-05T06:56:00-04:00,,8676.0,,,
2024-12-05T06:57:00-04:00,,8861.0,,,
2024-12-05T06:58:00-04:00,,8844.0,,,
2024-12-05T06:59:00-04:00,,,,,
2024-12-05T07:00:00-04:00,,,,,
2024-12-05T07:01:00-04:00,,8567.0,,,
2024-12-05T07:02:00-04:00,,8644.0,,,
2024-12-05T07:03:00-04:00,,8579.0,,,
2024-12-05T07:04:00-04:00,,8821.0,,,
2024-12-05T07:05:00-04:00,,9005.0,,,
2024-12-05T07:06:00-04:00,,,,,
2024-12-05T07:07:00-04:00,,8908.0,,,
2024-12-05T07:08:00-04:00,,8967.0,,,
2024-12-05T07:09:00-04:00,,8500.0,,,
2024-12-05T07:10:00-04:00,,8976.0,,,
2024-12-05T07:11:00-04:00,,8979.0,,,
2024-12-05T07:12:00-04:00,,8892.0,,,
2024-12-05T07:13:00-04:00,,8470.0,,,
2024-12-05T07:14:00-04:00,,8805.0,,,
2024-12-05T07:15:00-04:00,,8932.0,,,
2024-12-05T07:16:00-04:00,,8677.0,,,
2024-12-05T07:17:00-04:00,,8957.0,,,
2024-12-05T07:18:00-04:00,,,,,
2024-12-05T07:19:00-04:00,,,,,
2024-12-05T07:20:00-04:00,,,,,
2024-12-05T07:21:00-04:00,,8548.0,,,
2024-12-05T07:22:00-04:00,,8691.0,,,
2024-12-05T07:23:00-04:00,,8657.0,,,
2024-12-05T07:24:00-04:00,,8742.0,,,
2024-12-05T07:25:00-04:00,,8418.0,,,
2024-12-05T07:26:00-04:00,,8887.0,,,
2024-12-05T07:27:00-04:00,,8548.0,,,
2024-12-05T07:28:00-04:00,,8863.0,,,
2024-12-05T07:29:00-04:00,,8560.0,,,
2024-12-05T07:30:00-04:00,,8986.0,,,
2024-12-05T07:31:00-04:00,,8956.0,,,
2024-12-05T07:32:00-04:00,,8953.0,,,
2024-12-05T07:33:00-04:00,,8766.0,,,
2024-12-05T07:34:00-04:00,,,,,
2024-12-05T07:35:00-04:00,,8617.0,,,
